sid,display_name
3880285,Science | American Association for the Advancement of Science
11146949,Smart Materials and Structures | IOP Publishing
8427965,Biomedical Signal Processing and Control | Elsevier BV
4436492,"Drugs | Adis, Springer Healthcare"
11065456,Concurrency and Computation Practice and Experience | Wiley
6725529,IEEE Software | IEEE Computer Society
3207524,Melanoma Research | Lippincott Williams & Wilkins
920941,Color Research & Application | Wiley
9307485,Prostaglandins Leukotrienes and Essential Fatty Acids | Elsevier BV
2801039,Arquivos Brasileiros de Oftalmologia | Conselho Brasileiro de Oftalmologia
4949901,Steel in Translation | Pleiades Publishing
3113591,Connective Tissue Research | Taylor & Francis
6010938,Journal of Chemical Neuroanatomy | Elsevier BV
9536269,Sociological Methods & Research | SAGE Publishing
14436165,"Reactions Weekly | Adis, Springer Healthcare"
15137598,Journal of Clinical Oncology | Lippincott Williams & Wilkins
24807848,Physical Review Letters | American Physical Society
25293849,The FASEB Journal | Wiley
14544163,Medicine & Science in Sports & Exercise | Lippincott Williams & Wilkins
25650217,Annals of the Rheumatic Diseases | BMJ
13479253,Environmental Science & Technology | American Chemical Society
15239247,International Journal of Environmental Research and Public Health | Multidisciplinary Digital Publishing Institute
11564597,Transplantation | Wolters Kluwer
18714766,Materials | Multidisciplinary Digital Publishing Institute
26125866,Journal of Materials Science | Springer Science+Business Media
16731738,European Journal of Cancer | Elsevier BV
22862804,Physics of Fluids | American Institute of Physics
21442059,Bioresource Technology | Elsevier BV
12279879,World Literature Today | University of Oklahoma
23181512,Nanoscale | Royal Society of Chemistry
13144211,Expert Systems with Applications | Elsevier BV
22881060,Ultrasound in Obstetrics and Gynecology | Wiley
18197459,American Journal of Kidney Diseases | Elsevier BV
16737290,Wear | Elsevier BV
20257348,Journal of Experimental Biology | The Company of Biologists
25652865,MMW - Fortschritte der Medizin | Springer Science+Business Media
14109371,Injury | Elsevier BV
13733787,Ecotoxicology and Environmental Safety | Elsevier BV
18902827,Discrete Mathematics | Elsevier BV
12898181,BMC Health Services Research | BioMed Central
15470582,Epidemiology | Lippincott Williams & Wilkins
13410216,European Journal of Cancer Supplements | Elsevier BV
23629721,International Journal of Advanced Computer Science and Applications | Science and Information Organization
17147534,Journal of Medical Internet Research | JMIR Publications
19572933,Retina | Lippincott Williams & Wilkins
13084425,Médecine et Maladies Infectieuses | Elsevier BV
17239246,Clinical & Experimental Allergy | Wiley
22685659,Journal of Wind Engineering and Industrial Aerodynamics | Elsevier BV
12644804,Tumor Biology | SAGE Publishing
20715302,Materials and Structures | Springer Science+Business Media
11973042,PLANT ARCHIVES | Dr. R.S. Yadav
21837735,"Journal of Laparoendoscopic & Advanced Surgical Techniques | Mary Ann Liebert, Inc."
25675866,International Journal of Environmental Studies | Taylor & Francis
17775143,Fusion Technology | American Nuclear Society
11350316,Wirtschaftsdienst | Springer Science+Business Media
21262371,International journal of greenhouse gas control | Elsevier BV
23327923,Caries Research | Karger Publishers
20152851,International Journal of Educational Development | Elsevier BV
18307414,The International Journal of the History of Sport | Routledge
20677110,Folia Phoniatrica et Logopaedica | Karger Publishers
20709540,Expert Opinion on Drug Safety | Taylor & Francis
16879113,International Journal of Photoenergy | Hindawi Publishing Corporation
13068289,Cultural Diversity & Ethnic Minority Psychology | American Psychological Association
16772596,Journal of Teaching in Physical Education | Human Kinetics
30525748,The Journal of Urology | Lippincott Williams & Wilkins
38008053,The Journal of Immunology | American Association of Immunologists
36000085,Nursing Standard | Royal College of Nursing
38943393,DMW - Deutsche Medizinische Wochenschrift | Thieme Medical Publishers (Germany)
28527816,Gastrointestinal Endoscopy | Elsevier BV
31010182,Review of Scientific Instruments | American Institute of Physics
28966261,Medicine | Wolters Kluwer
29980478,Construction and Building Materials | Elsevier BV
28607811,Journal of Investigative Dermatology | Elsevier BV
34954451,FEMS Microbiology Letters | Oxford University Press
27359860,Vaccine | Elsevier BV
35412551,Physical Review E | American Physical Society
29875816,IEEE Transactions on Power Electronics | Institute of Electrical and Electronics Engineers
27723657,IEEE Photonics Technology Letters | Institute of Electrical and Electronics Engineers
29564236,Journal of Ethnopharmacology | Elsevier BV
26760650,LWT | Elsevier BV
33894392,Archives of Dermatological Research | Springer Science+Business Media
35071406,International Journal of Infectious Diseases | Elsevier BV
31573680,Journal of Parasitology | American Society of Parasitologists
36642063,Journal of Craniofacial Surgery | Lippincott Williams & Wilkins
32635664,International Journal of Dermatology | Wiley
32515731,Archives de Pédiatrie | Elsevier BV
38078933,Nutrition Reviews | Oxford University Press
34136372,American Journal of Physiology-Gastrointestinal and Liver Physiology | American Physiological Society
31777576,Pest Management Science | Wiley
33159018,Current Medicinal Chemistry | Bentham Science Publishers
37976914,JAWRA Journal of the American Water Resources Association | Wiley
28057480,Insects | Multidisciplinary Digital Publishing Institute
28092622,Digestion | Karger Publishers
31525657,Callaloo | Johns Hopkins University Press
39260535,Rock Mechanics and Rock Engineering | Springer Science+Business Media
34881539,IEEE Transactions on Automation Science and Engineering | Institute of Electrical and Electronics Engineers
38112244,Brachytherapy | Elsevier BV
27717133,Survival | Taylor & Francis
27810338,III-Vs Review | Elsevier BV
39012697,Fundamenta Informaticae | IOS Press
30479993,Elektronika ir Elektrotechnika | Kaunas University of Technology
36909964,Environmental Policy and Law | IOS Press
30880287,Studia Logica | Springer Science+Business Media
39019318,The Cartographic Journal | Taylor & Francis
26543813,Multitudes | Association Multitudes
33049603,International Journal of Sports Science & Coaching | SAGE Publishing
29411750,Government and Opposition | Cambridge University Press
35445400,Voprosy filosofii | Russian Academy of Sciences
30638350,Journal of Educational Measurement | Wiley
26443501,Journal of Water and Health | UWA Publishing
27967161,Journal of theoretical and applied electronic commerce research | Multidisciplinary Digital Publishing Institute
30806240,Cartographica The International Journal for Geographic Information and Geovisualization | University of Toronto Press
30338973,Universal Access in the Information Society | Springer Science+Business Media
35909690,Television & New Media | SAGE Publishing
41354064,ChemInform | Wiley
49861241,The Lancet | Elsevier BV
42323631,Applied Surface Science | Elsevier BV
44567922,Chemical Physics Letters | Elsevier BV
41454044,Annals of Oncology | Elsevier BV
50280174,Radiology | Radiological Society of North America
45445671,Fertility and Sterility | Elsevier BV
48860480,International Journal of Hydrogen Energy | Elsevier BV
50016660,American Journal of Ophthalmology | Elsevier BV
50523690,IEEE Transactions on Magnetics | IEEE Magnetics Society
43295729,Remote Sensing | Multidisciplinary Digital Publishing Institute
45720283,British Journal of Dermatology | Oxford University Press
46995015,American Heart Journal | Elsevier BV
44425019,Biochemical Journal | Portland Press
52566953,Water Research | Elsevier BV
44455300,Journal of Environmental Management | Elsevier BV
45693802,Neurocomputing | Elsevier BV
39653451,Planta Medica | Thieme Medical Publishers (Germany)
48277251,Crop Science | Wiley
41026820,International Journal of Gynecological Cancer | BMJ
45696439,Optometry and Vision Science | Lippincott Williams & Wilkins
46732370,EP Europace | Oxford University Press
47192491,Surgical Endoscopy | Springer Science+Business Media
52395412,Bioinformatics | Oxford University Press
40006715,Computer Methods in Applied Mechanics and Engineering | Elsevier BV
48915936,The Journal of Arthroplasty | Elsevier BV
45281609,Experimental Brain Research | Springer Science+Business Media
50004817,Neuromuscular Disorders | Elsevier BV
51360982,Automatica | Elsevier BV
49828768,Journal of Medical Virology | Wiley
45757444,Neuron | Cell Press
49967189,Wireless Personal Communications | Springer Science+Business Media
46544255,PLoS neglected tropical diseases | Public Library of Science
45123234,Inflammatory Bowel Diseases | Oxford University Press
48849333,The Plant Cell | Oxford University Press
44278595,Computers in Biology and Medicine | Elsevier BV
50366009,Urban Studies | SAGE Publishing
52430896,Journal of Optimization Theory and Applications | Springer Science+Business Media
40629775,Journal of American Association for Pediatric Ophthalmology and Strabismus | Elsevier BV
45895958,Cirugía Española | Elsevier BV
49004918,World Journal of Urology | Springer Science+Business Media
44923075,Neuropediatrics | Thieme Medical Publishers (Germany)
41709181,The American Journal of Bioethics | Taylor & Francis
50368787,Electronic Notes in Theoretical Computer Science | Elsevier BV
50222406,IEEE Transactions on Components Packaging and Manufacturing Technology | Institute of Electrical and Electronics Engineers
46578180,Lebende Sprachen | De Gruyter
44433209,Latin American Perspectives | SAGE Publishing
47057106,Journal of Logic and Computation | Oxford University Press
40710572,Topoi | Springer Science+Business Media
44504596,Mycobiology | Taylor & Francis
62468778,New England Journal of Medicine | Massachusetts Medical Society
67425620,Advanced materials research | Trans Tech Publications
60865174,Journal of the American College of Cardiology | Elsevier BV
67716761,Journal of Alloys and Compounds | Elsevier BV
64187185,Nature Communications | Nature Portfolio
66441642,The American Journal of Gastroenterology | Lippincott Williams & Wilkins
67393510,Angewandte Chemie International Edition | Wiley
58727509,Journal of the American Academy of Dermatology | Elsevier BV
61740008,British journal of surgery | Oxford University Press
58516903,Journal of Cleaner Production | Elsevier BV
55626769,Materials Letters | Elsevier BV
54542293,The Journal of Infectious Diseases | Oxford University Press
53450646,Water Science & Technology | Pergamon Press
62966998,British Journal of Cancer | Springer Nature
55107261,British Journal of Pharmacology | Wiley
63023845,Journal of Radioanalytical and Nuclear Chemistry | Springer Science+Business Media
58031724,IEEE Transactions on Industrial Electronics | Institute of Electrical and Electronics Engineers
67869649,Journal of Cardiac Failure | Elsevier BV
68686220,Proceedings of the IEEE | Institute of Electrical and Electronics Engineers
55776271,Viruses | Multidisciplinary Digital Publishing Institute
68497187,Renewable and Sustainable Energy Reviews | Elsevier BV
56953219,Vox Sanguinis | Wiley
68719679,Vision Research | Elsevier BV
63459445,IEEE Transactions on Wireless Communications | Institute of Electrical and Electronics Engineers
61167191,Journal of Cardiovascular Pharmacology | Lippincott Williams & Wilkins
68090385,Allergy | Wiley
61245073,Photochemistry and Photobiology | Wiley
59098468,Bulletin of the Seismological Society of America | Seismological Society of America
66401815,Journal of Food Protection | Elsevier BV
53842986,Materials Characterization | Elsevier BV
61564791,Aerospace Science and Technology | Elsevier BV
63392143,Computer Networks | Elsevier BV
57667410,Annals of Operations Research | Springer Science+Business Media
59604973,IEEE Transactions on Smart Grid | Institute of Electrical and Electronics Engineers
61310614,IEEE Transactions on Information Forensics and Security | Institute of Electrical and Electronics Engineers
61699894,Computers & Geosciences | Elsevier BV
56783896,SANGYO EISEIGAKU ZASSHI | Japan Society for Occupational Health
64511102,Transportation Research Part C Emerging Technologies | Elsevier BV
54222852,International Ophthalmology Clinics | Lippincott Williams & Wilkins
68581467,Geothermics | Elsevier BV
64417657,International Journal of Distributed Sensor Networks | Hindawi Publishing Corporation
62148650,Machine Learning | Springer Science+Business Media
63018980,European Journal of Engineering Education | Taylor & Francis
66039016,ACM SIGCOMM Computer Communication Review | Association for Computing Machinery
61862591,Synchrotron Radiation News | Taylor & Francis
57173539,Teaching Statistics | Wiley
67507294,Peace and Conflict Journal of Peace Psychology | American Psychological Association
53559421,Teachers and Teaching | Taylor & Francis
59003305,The Journal of Architecture | Taylor & Francis
59562046,Journal of Adventure Education & Outdoor Learning | Taylor & Francis
79704628,Neurology | Lippincott Williams & Wilkins
76900504,CHEST Journal | Elsevier BV
77494981,PEDIATRICS | American Academy of Pediatrics
75741262,Langmuir | American Chemical Society
72684844,Journal of Animal Science | Oxford University Press
72350973,Clinical Infectious Diseases | Oxford University Press
79519963,International Affairs | Oxford University Press
69753523,Separation and Purification Technology | Elsevier BV
77056576,The International Journal of Advanced Manufacturing Technology | Springer Science+Business Media
71285955,American Journal of Clinical Nutrition | Elsevier BV
76910236,Ocean Engineering | Elsevier BV
79587146,British Journal of Ophthalmology | BMJ
75069817,Energy Procedia | Elsevier BV
80146597,American Psychologist | American Psychological Association
70979998,Applied Microbiology and Biotechnology | Springer Science+Business Media
69273698,Digestive and Liver Disease | Elsevier BV
73678819,Journal of Minimally Invasive Gynecology | Elsevier BV
71324801,Forests | Multidisciplinary Digital Publishing Institute
80660208,Biological Conservation | Elsevier BV
70695507,Nonlinear Analysis | Elsevier BV
71623918,International Journal of Fatigue | Elsevier BV
69770752,Revista Española de Cardiología | Elsevier BV
71256826,Immunology Letters | Elsevier BV
80731565,Mycoses | Wiley
74082208,Filtration Industry Analyst | Elsevier BV
72159247,Ergonomics | Taylor & Francis
81011612,International Journal of Bifurcation and Chaos | World Scientific
79131028,Trends in Ecology & Evolution | Elsevier BV
68792902,Avian Diseases | American Association of Avian Pathologists
70185877,Journal of Medical Ethics | BMJ
69141925,IEEE Transactions on Mobile Computing | IEEE Computer Society
76547072,Journal of Environmental Radioactivity | Elsevier BV
74845278,Journal of Social History | Oxford University Press
74080386,International Journal of Eating Disorders | Wiley
72372694,Computational Intelligence and Neuroscience | Hindawi Publishing Corporation
81674035,Injury Prevention | BMJ
71642434,Bulletin of the history of medicine | Johns Hopkins University Press
74622277,Journal of surgical education | Elsevier BV
74123199,"Telemedicine Journal and e-Health | Mary Ann Liebert, Inc."
76961920,The Wordsworth Circle | Temple University Press
78118978,Annales de l’institut Fourier | Association of the Annals of the Fourier Institute
77894049,Journal of Computers | Academy Publisher
79925788,International journal of medicinal mushrooms | Begell House
76880069,Implementation Science | BioMed Central
78119372,Physics of Life Reviews | Elsevier BV
72366220,COMBINATORICA | Springer Science+Business Media
76822007,African Security Review | Taylor & Francis
75440718,Legal Information Management | Cambridge University Press
72455244,Leonardo Music Journal | The MIT Press
77494339,Zeitschrift für Theologie und Kirche | Mohr Siebeck Verlag
86852077,The Science of The Total Environment | Elsevier BV
95739953,The Journal of Physical Chemistry C | American Chemical Society
83651209,Journal of Hepatology | Elsevier BV
83853393,International Journal of Biological Macromolecules | Elsevier BV
96615428,Journal of Virology | American Society for Microbiology
87561820,Environmental Science and Pollution Research | Springer Science+Business Media
84339699,Thin Solid Films | Elsevier BV
95522064,Medical Physics | Wiley
87202501,European Psychiatry | Cambridge University Press
86387881,The Laryngoscope | Wiley
93676754,The Modern Language Review | Modern Humanities Research Association
94313546,Colloids and Surfaces A Physicochemical and Engineering Aspects | Elsevier BV
94619837,Small | Wiley
86692366,La Revue de Médecine Interne | Elsevier BV
96410829,The Journal of Cell Biology | Rockefeller University Press
90745127,Journal of Thoracic Oncology | Elsevier BV
86512602,Desalination | Elsevier BV
92766711,Frontiers in Psychiatry | Frontiers Media
91067379,Cardiovascular Research | Oxford University Press
83308807,Religious Studies Review | Wiley
90422530,IEEE Journal on Selected Areas in Communications | Institute of Electrical and Electronics Engineers
82541167,Journal of Modern Optics | Taylor & Francis
96331937,Headache The Journal of Head and Face Pain | Wiley
93909106,Superconductor Science and Technology | IOP Publishing
88577320,Finance research letters | Elsevier BV
94499970,Energy Economics | Elsevier BV
88529193,Journal of Palestine Studies | Taylor & Francis
82299809,Deep Sea Research Part B Oceanographic Literature Review | Elsevier BV
84775595,IEEE Transactions on Visualization and Computer Graphics | Institute of Electrical and Electronics Engineers
89199708,Research on Chemical Intermediates | Springer Science+Business Media
84102376,Neuroendocrinology | Karger Publishers
87865284,Andrologia | Wiley
95928045,Laser & Photonics Review | Wiley
91767247,Briefings in Bioinformatics | Oxford University Press
83891556,International Journal of Technology Assessment in Health Care | Cambridge University Press
92508993,International Journal of Social Psychiatry | SAGE Publishing
92163612,Robotica | Cambridge University Press
94788606,BMC Women s Health | BioMed Central
82595977,BMC Neuroscience | BioMed Central
93373720,Nature reviews. Immunology | Nature Portfolio
88857351,Survey of Ophthalmology | Elsevier BV
82675988,EURASIP Journal on Wireless Communications and Networking | Springer Nature
88154163,Current Organic Chemistry | Bentham Science Publishers
82927919,Revista Española de Investigaciones Sociológicas | Centro de Investigaciones Sociológicas
90310510,Disaster Prevention and Management An International Journal | Emerald Publishing Limited
92417479,Contemporary European History | Cambridge University Press
82172322,International Journal of Continuing Engineering Education and Life-Long Learning | Inderscience Publishers
94074959,Scandinavian Journal of History | Routledge
90526950,Analyses of Social Issues and Public Policy | Wiley
96609033,Artificial Intelligence and Law | Springer Science+Business Media
100460328,Scientific American | Springer Nature
105243760,Applied Physics Letters | American Institute of Physics
98085912,Biophysical Journal | Elsevier BV
101949793,Sensors | Multidisciplinary Digital Publishing Institute
100736837,Plastic & Reconstructive Surgery | Lippincott Williams & Wilkins
96638545,Brain Research | Elsevier BV
108427512,Alzheimer s & Dementia | Wiley
106928643,Ceramics International | Elsevier BV
104920066,The New Scientist | Elsevier BV
105208853,Journal of Chemical Education | American Chemical Society
104875562,Physics Letters A | Elsevier BV
98026630,Food Chemistry | Elsevier BV
104698359,Anesthesia & Analgesia | Lippincott Williams & Wilkins
104135014,Journal of Vascular Surgery | Elsevier BV
98010888,JNCI Journal of the National Cancer Institute | Oxford University Press
105051383,American Journal of Health-System Pharmacy | Oxford University Press
103225281,NeuroImage | Elsevier BV
100767427,Lung Cancer | Elsevier BV
97303050,Kidney International | Elsevier BV
107025856,Journal of Cataract & Refractive Surgery | Lippincott Williams & Wilkins
103482838,Communications of the ACM | Association for Computing Machinery
104415515,Journal of Investigative Medicine | SAGE Publishing
96685181,Theoretical and Applied Genetics | Springer Science+Business Media
104206441,NASSP Bulletin | SAGE Publishing
102439543,Mathematics of Computation | American Mathematical Society
96702057,Micromachines | Multidisciplinary Digital Publishing Institute
104894821,Mathematische Zeitschrift | Springer Science+Business Media
103229351,Leonardo | The MIT Press
100835903,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems | Institute of Electrical and Electronics Engineers
102868315,Experimental Parasitology | Elsevier BV
98137347,Conservation Biology | Wiley
99517592,Philosophical Transactions of the Royal Society A Mathematical Physical and Engineering Sciences | Royal Society
99846442,Organic Electronics | Elsevier BV
97130795,IEEE Transactions on Parallel and Distributed Systems | Institute of Electrical and Electronics Engineers
99078529,Chemistry and Physics of Lipids | Elsevier BV
96629499,Ethnic and Racial Studies | Routledge
106137443,Pharmacology | Karger Publishers
107799410,BMC Nursing | BioMed Central
106979888,American Journal of Nephrology | Karger Publishers
96783963,Journal of Sensors | Hindawi Publishing Corporation
107966883,Nutrition Today | Lippincott Williams & Wilkins
106535470,Acta Geotechnica | Springer Science+Business Media
99339964,Journal of the American Pomological Society | American Pomological Society
98984247,Computational Economics | Springer Science+Business Media
102890116,Xenotransplantation | Wiley
105581463,Journal of Bioenergetics and Biomembranes | Springer Science+Business Media
98708256,Comunicar | Grupo Comunicar Ediciones
105046310,ACM Transactions on Design Automation of Electronic Systems | Association for Computing Machinery
104780363,IEEE Transactions on Affective Computing | Institute of Electrical and Electronics Engineers
96708334,Journal of Family Theory & Review | Wiley
111155417,Journal of the American Chemical Society | American Chemical Society
116251202,Circulation | Lippincott Williams & Wilkins
110533041,International Journal of Radiation Oncology*Biology*Physics | Elsevier BV
108732581,Critical Care Medicine | Lippincott Williams & Wilkins
108525051,Journal of Allergy and Clinical Immunology | Elsevier BV
115046667,Archives of Dermatology | American Medical Association
110785341,Nutrients | Multidisciplinary Digital Publishing Institute
111927887,Journal of Physics D Applied Physics | Institute of Physics
115693375,Journal of the American Society of Nephrology | American Society of Nephrology
115629255,French Studies | Oxford University Press
113313948,Advances in Space Research | Elsevier BV
111326731,IEEE Transactions on Geoscience and Remote Sensing | Institute of Electrical and Electronics Engineers
110924429,Archives of Physical Medicine and Rehabilitation | Elsevier BV
111163638,Journal of Molecular and Cellular Cardiology | Elsevier BV
113871862,Journal of Affective Disorders | Elsevier BV
110206669,Multimedia Tools and Applications | Springer Science+Business Media
109302362,Measurement Science and Technology | IOP Publishing
109113098,Ultrasound in Medicine & Biology | Elsevier BV
109682412,Journal of Theoretical Biology | Elsevier BV
112180307,The Spine Journal | Elsevier BV
109369870,The Pediatric Infectious Disease Journal | Lippincott Williams & Wilkins
114499311,Polymer Engineering and Science | Wiley
112674977,Composites Part B Engineering | Elsevier BV
116045149,Journal of Instrumentation | Institute of Physics
111449618,Weather | Wiley
117727964,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing | Institute of Electrical and Electronics Engineers
115516397,Revue économique | Sciences Po
109512841,Trials | Springer Science+Business Media
118719888,Journal of Consulting and Clinical Psychology | American Psychological Association
115004586,Computer Communications | Elsevier BV
116775814,Computers and Electronics in Agriculture | Elsevier BV
113298455,Pediatrics International | Wiley
115173108,IEEE Transactions on Circuits and Systems for Video Technology | Institute of Electrical and Electronics Engineers
117498271,Cancer Chemotherapy and Pharmacology | Springer Science+Business Media
116977442,IEEE Transactions on Circuits and Systems I Regular Papers | Institute of Electrical and Electronics Engineers
114466185,Beton- und Stahlbetonbau | Wiley
117819788,The Russian Review | Wiley
110744938,Journal of Speech Language and Hearing Research | American Speech–Language–Hearing Association
112141509,Advanced Engineering Informatics | Elsevier BV
118082279,International Journal of Urban and Regional Research | Wiley
118216261,Robotics and Computer-Integrated Manufacturing | Elsevier BV
115925768,Journal of Global Optimization | Springer Science+Business Media
112377731,Orbit | Taylor & Francis
117649290,Revue d histoire littéraire de la France | Presses Universitaires De France
112262039,Multimedia Systems | Springer Science+Business Media
111876535,Microcirculation | Wiley
110024640,Climacteric | Taylor & Francis
110451752,Environmental Health and Preventive Medicine | Springer Science+Business Media
115394524,Edinburgh Journal of Botany | Royal Botanic Garden Edinburgh
116734912,Episteme | Cambridge University Press
125754415,Proceedings of the National Academy of Sciences | National Academy of Sciences
128754310,Applied Mechanics and Materials | Trans Tech Publications
122347013,American Journal of Obstetrics and Gynecology | Elsevier BV
124035732,Anesthesiology | Lippincott Williams & Wilkins
129060628,Diabetes | American Diabetes Association
127437062,Journal of Thoracic and Cardiovascular Surgery | Elsevier BV
120348307,Procedia Computer Science | Elsevier BV
129676613,Applied Thermal Engineering | Elsevier BV
123288148,Polymers | Multidisciplinary Digital Publishing Institute
127900037,Human Reproduction | Oxford University Press
126644158,Oncotarget | Impact Journals LLC
119074828,IEEE Transactions on Applied Superconductivity | IEEE Council on Superconductivity
130611943,Social Forces | Oxford University Press
130598054,Biology of Reproduction | Oxford University Press
121725775,Bone | Elsevier BV
127530304,Journal of Materials Processing Technology | Elsevier BV
128634829,Pacing and Clinical Electrophysiology | Wiley
130197424,International Journal of Modern Physics B | World Scientific
129637156,Experimental Eye Research | Elsevier BV
120256695,Atherosclerosis Supplements | Elsevier BV
120382301,Peptides | Elsevier BV
126920919,IEEE Geoscience and Remote Sensing Letters | Institute of Electrical and Electronics Engineers
129135363,International Journal of Psychophysiology | Elsevier BV
127492747,Maturitas | Elsevier BV
126824455,IEEE Transactions on Consumer Electronics | Institute of Electrical and Electronics Engineers
123019304,Neural Networks | Elsevier BV
121799786,Journal of Dental Education | Wiley
121647140,Transplant International | Springer Science+Business Media
122042528,Pediatric Cardiology | Springer Science+Business Media
124424368,Early Human Development | Elsevier BV
125775545,Operations Research | Institute for Operations Research and the Management Sciences
126993733,Journal of Critical Care | Elsevier BV
120324992,OncoTargets and Therapy | Dove Medical Press
121762105,Neuromodulation Technology at the Neural Interface | Elsevier BV
123887920,Cement and Concrete Composites | Elsevier BV
130511131,Water Environment Research | Wiley
123060138,IEEE Electrical Insulation Magazine | Institute of Electrical and Electronics Engineers
130320380,Pediatric Neurosurgery | Karger Publishers
128470386,Zygon® | Wiley
119771102,International Journal of Language & Communication Disorders | Wiley
120049674,Engineering Construction & Architectural Management | Emerald Publishing Limited
124867825,Phlebology The Journal of Venous Disease | SAGE Publishing
127434156,Immunology and Allergy Clinics of North America | Elsevier BV
129922104,International Journal of Sustainability in Higher Education | Emerald Publishing Limited
125685628,Journal of Fusion Energy | Springer Science+Business Media
129109584,South Central Review | Johns Hopkins University Press
127036354,Zoomorphology | Springer Science+Business Media
128256000,Revista Internacional del Trabajo | Wiley
127898559,Bayesian Analysis | International Society for Bayesian Analysis
123680841,TEXTILE | Berg Publishers
137773608,Nature | Nature Portfolio
140251998,Journal of Biological Chemistry | Elsevier BV
143352558,Gastroenterology | Elsevier BV
133942674,Tetrahedron Letters | Elsevier BV
143744711,Japanese Journal of Applied Physics | Institute of Physics
134668137,Nucleic Acids Research | Oxford University Press
144020083,AAPG Bulletin | American Association of Petroleum Geologists
135204980,Advanced Functional Materials | Wiley
137468011,Journal of Vision | Association for Research in Vision and Ophthalmology
141953298,BMJ Case Reports | BMJ
134216166,Water | Multidisciplinary Digital Publishing Institute
132108250,Frontiers in Pharmacology | Frontiers Media
133646729,Microelectronics Reliability | Elsevier BV
139838620,Obstetrics and Gynecology | Lippincott Williams & Wilkins
139340696,Physica C Superconductivity | Elsevier BV
134546602,Thrombosis Research | Elsevier BV
137740113,Journal of the European Academy of Dermatology and Venereology | Wiley
140848990,Pain | Lippincott Williams & Wilkins
137832324,Journal of Advanced Nursing | Wiley
135898356,Journal of Pain and Symptom Management | Elsevier BV
143381477,Environment International | Elsevier BV
141585851,Chemical Geology | Elsevier BV
133811445,Optical and Quantum Electronics | Springer Science+Business Media
132598247,Tijdschrift voor Geneeskunde | Universa BV
132626406,International Journal of Food Microbiology | Elsevier BV
137362610,Journal of Food Engineering | Elsevier BV
133626053,Burns | Elsevier BV
135397728,Dermatology | Karger Publishers
143832381,Journal of Cardiovascular Electrophysiology | Wiley
134627157,Applied Organometallic Chemistry | Wiley
141866484,Cephalalgia | SAGE Publishing
137445289,Cities | Elsevier BV
138151673,Journal of Biogeography | Wiley
134185576,Ecological Engineering | Elsevier BV
131387491,Journal of Wound Ostomy and Continence Nursing | Lippincott Williams & Wilkins
143190592,Radiation Measurements | Elsevier BV
140928716,Precision Engineering | Elsevier BV
137478622,Behavior Research Methods | Springer Science+Business Media
136368880,Journal of Psychopharmacology | SAGE Publishing
141855577,Academic Pediatrics | Elsevier BV
130650480,Journal of Pain Research | Dove Medical Press
136462399,FEMS Immunology & Medical Microbiology | Oxford University Press
134155688,Geofluids | Hindawi Publishing Corporation
139566883,Nurse Education in Practice | Elsevier BV
143715161,Computer-Aided Design and Applications | Taylor & Francis
132261465,IEEE Robotics & Automation Magazine | Institute of Electrical and Electronics Engineers
135086837,Sustainability Science | Springer Science+Business Media
135873401,Teaching in Higher Education | Taylor & Francis
139930977,Journal of Artificial Intelligence Research | AI Access Foundation
